item_id,order_id,product_id,quantite,prix_unitaire_fcfa
I00000001,O0000001,P00003,2,39000
I00000002,O0000001,P00533,1,1500
I00000003,O0000001,P00001,1,108000
I00000004,O0000002,P00351,1,30200
I00000005,O0000003,P00003,1,39000
I00000006,O0000004,P00070,2,500
I00000007,O0000005,P00061,1,30000
I00000008,O0000005,P00505,1,3500
I00000009,O0000006,P00008,1,3000
I00000010,O0000006,P00023,3,9500
I00000011,O0000006,P00041,1,6000
I00000012,O0000006,P00006,1,276000
I00000013,O0000006,P00139,2,10500
I00000014,O0000006,P00206,1,12000
I00000015,O0000007,P00124,1,3500
I00000016,O0000008,P00005,1,529000
I00000017,O0000008,P00178,1,58500
I00000018,O0000008,P00457,2,211500
I00000019,O0000009,P00005,1,529000
I00000020,O0000009,P00002,1,69500
I00000021,O0000009,P00034,1,3500
I00000022,O0000010,P00001,1,108000
I00000023,O0000011,P00374,1,10500
I00000024,O0000011,P00085,1,55500
I00000025,O0000011,P00293,1,27500
I00000026,O0000012,P00118,1,6000
I00000027,O0000012,P00032,1,3300
I00000028,O0000012,P00488,1,6500
I00000029,O0000013,P00033,2,9500
I00000030,O0000014,P00081,1,9500
I00000031,O0000014,P00060,1,67000
I00000032,O0000015,P00022,2,5500
I00000033,O0000015,P00225,1,13200
I00000034,O0000016,P00579,1,4600
I00000035,O0000016,P00212,1,1500
I00000036,O0000016,P00019,1,49500
I00000037,O0000017,P00002,1,69500
I00000038,O0000017,P00503,1,19000
I00000039,O0000018,P00045,1,29000
I00000040,O0000018,P00444,2,3000
I00000041,O0000019,P00336,3,8500
I00000042,O0000020,P00250,1,8500
I00000043,O0000020,P00437,1,6000
I00000044,O0000020,P00045,1,29000
I00000045,O0000020,P00246,1,38000
I00000046,O0000021,P00208,2,24500
I00000047,O0000021,P00007,1,4500
I00000048,O0000021,P00212,1,1500
I00000049,O0000022,P00001,2,108000
I00000050,O0000022,P00618,1,17000
I00000051,O0000023,P00002,2,69500
I00000052,O0000023,P00075,1,10500
I00000053,O0000024,P00012,3,35500
I00000054,O0000024,P00044,1,32500
I00000055,O0000025,P00151,1,20500
I00000056,O0000026,P00431,2,48000
I00000057,O0000026,P00181,1,41500
I00000058,O0000026,P00001,1,108000
I00000059,O0000027,P00283,1,46500
I00000060,O0000027,P00002,2,69500
I00000061,O0000027,P00209,1,104500
I00000062,O0000027,P00042,1,414000
I00000063,O0000028,P00024,1,5000
I00000064,O0000029,P00009,1,32000
I00000065,O0000030,P00004,1,2000
I00000066,O0000030,P00017,1,25000
I00000067,O0000030,P00119,1,15500
I00000068,O0000031,P00354,2,20000
I00000069,O0000031,P00234,1,3000
I00000070,O0000032,P00057,1,18500
I00000071,O0000032,P00086,2,5500
I00000072,O0000032,P00083,1,144000
I00000073,O0000032,P00290,1,4000
I00000074,O0000033,P00293,1,27500
I00000075,O0000033,P00004,1,2000
I00000076,O0000034,P00495,1,12000
I00000077,O0000034,P00086,1,5500
I00000078,O0000035,P00531,1,34500
I00000079,O0000035,P00078,1,429000
I00000080,O0000036,P00209,1,104500
I00000081,O0000036,P00112,1,8900
I00000082,O0000036,P00284,2,2900
I00000083,O0000037,P00010,2,4500
I00000084,O0000037,P00099,1,9000
I00000085,O0000037,P00407,1,186500
I00000086,O0000038,P00092,1,61500
I00000087,O0000039,P00018,1,9300
I00000088,O0000039,P00184,1,293500
I00000089,O0000039,P00005,1,529000
I00000090,O0000040,P00382,2,105500
I00000091,O0000040,P00507,1,4500
I00000092,O0000041,P00012,1,35500
I00000093,O0000042,P00006,3,276000
I00000094,O0000043,P00044,1,32500
I00000095,O0000044,P00106,3,524000
I00000096,O0000044,P00022,2,5500
I00000097,O0000045,P00556,2,7500
I00000098,O0000046,P00362,1,296500
I00000099,O0000046,P00054,2,20500
I00000100,O0000046,P00005,1,529000
I00000101,O0000046,P00009,1,32000
I00000102,O0000047,P00064,2,155300
I00000103,O0000047,P00103,1,69500
I00000104,O0000047,P00006,3,276000
I00000105,O0000048,P00047,1,12000
I00000106,O0000048,P00406,3,6000
