order_id,customer_id,date_commande,statut,canal,frais_livraison_fcfa,montant_total_fcfa
O0000001,C000432,2024-09-16 10:50:08,livrée,mobile_app,3000,190500
O0000002,C000206,2026-06-06 22:33:28,livrée,mobile_app,2000,32200
O0000003,C002776,2026-05-05 09:47:45,livrée,web,1500,40500
O0000004,C000001,2026-04-24 13:47:11,livrée,mobile_app,3000,4000
O0000005,C002281,2025-05-02 11:53:40,annulée,web,2000,35500
O0000006,C003400,2025-07-19 21:24:14,en_cours,mobile_app,2000,348500
O0000007,C004415,2025-01-17 07:12:32,livrée,mobile_app,1000,4500
O0000008,C001814,2025-12-20 22:49:48,livrée,mobile_app,1000,1011500
O0000009,C003345,2026-06-08 07:06:28,en_cours,mobile_app,0,602000
O0000010,C003898,2024-11-01 10:09:22,livrée,mobile_app,2000,110000
O0000011,C003116,2025-11-02 10:13:38,livrée,mobile_app,2000,95500
O0000012,C000045,2025-08-02 22:43:01,en_cours,mobile_app,0,15800
O0000013,C000256,2024-07-26 18:50:35,livrée,mobile_app,1000,20000
O0000014,C003911,2025-04-21 12:51:21,annulée,mobile_app,2000,78500
O0000015,C004003,2026-03-27 08:00:33,livrée,mobile_app,1500,25700
O0000016,C001331,2025-02-11 12:33:24,livrée,mobile_app,1500,57100
O0000017,C001852,2026-06-23 15:04:09,annulée,mobile_app,1000,89500
O0000018,C003787,2026-02-18 22:02:15,livrée,mobile_app,0,35000
O0000019,C003471,2025-02-07 19:12:31,livrée,mobile_app,1500,27000
O0000020,C001545,2024-11-11 21:19:29,livrée,mobile_app,1500,83000
O0000021,C000185,2025-01-04 10:55:29,livrée,web,3000,58000
O0000022,C001816,2026-02-22 10:12:26,livrée,web,1500,234500 FCFA
O0000023,C000467,2025-01-23 16:19:05,livrée,web,1500,151000
O0000024,C000006,2025-03-20 11:11:05,annulée,web,1000,140000
O0000025,C000499,2024-10-26 15:26:10,livrée,web,1000,21500
O0000026,C000931,2025-12-22 16:17:02,annulée,web,2000,247500
O0000027,C001893,2025-07-23 20:16:14,livrée,mobile_app,2000,706000
O0000028,C004871,2026-01-13 16:03:22,livrée,mobile_app,1500,6500
O0000029,C004092,2025-04-15 08:14:07,livrée,mobile_app,1000,33000
O0000030,C002049,2026-04-17 12:00:39,livrée,web,0,42500
O0000031,C000020,2025-07-02 07:35:38,livrée,mobile_app,1500,44500
O0000032,C000462,2025-10-15 20:50:19,livrée,mobile_app,1500,179000
O0000033,C000222,2025-07-28 21:25:07,livrée,mobile_app,1000,30500
O0000034,C000010,2024-08-09 08:02:52,livrée,mobile_app,2000,19500
O0000035,C000266,2024-10-24 21:26:23,en_cours,mobile_app,0,463500
O0000036,C002649,2025-05-28 12:17:17,livrée,mobile_app,1000,120200
O0000037,C001018,2024-07-18 08:39:31,livrée,web,3000,207500
O0000038,C001120,2026-06-20 11:13:45,livrée,web,1000,62500
O0000039,C000019,2025-12-27 10:13:56,livrée,web,3000,834800
O0000040,C000303,2025-12-28 19:41:15,livrée,mobile_app,3000,218500
O0000041,C000798,2024-08-30 12:37:37,livrée,web,1500,37000
O0000042,C003823,2026-01-15 07:18:20,livrée,web,3000,831000
O0000043,C000198,2025-04-22 18:02:18,livrée,mobile_app,1500,34000
O0000044,C000025,2025-11-28 15:43:33,annulée,mobile_app,1000,1584000
O0000045,C000444,2025-09-06 18:21:21,livrée,web,2000,17000
O0000046,C000356,2025-05-24 19:25:41,retournée,mobile_app,1500,900000
O0000047,C004199,2026-06-19 20:19:56,en_cours,mobile_app,3000,1211100
O0000048,C000140,2026-02-26 14:43:30,livrée,mobile_app,0,126500
O0000049,C000002,2025-06-14 06:27:56,livrée,web,1500,49000
O0000050,C000022,2026-04-21 11:49:05,annulée,mobile_app,2000,165500
O0000051,C003573,2025-05-10 07:47:42,livrée,mobile_app,0,266500
O0000052,C000034,2024-11-16 06:38:35,livrée,web,3000,117000
O0000053,C003328,2024-12-07 15:15:18,livrée,web,0,1048000
O0000054,C000656,2025-08-11 14:00:24,livrée,mobile_app,1500,13000
O0000055,C003089,2025-01-12 18:47:46,annulée,web,1500,139000
O0000056,C001178,2025-03-07 12:14:14,livrée,mobile_app,0,216000
O0000057,C000146,2025-07-21 16:20:56,livrée,web,1000,224000
O0000058,C000877,2024-09-05 16:01:24,livrée,web,1500,390000
O0000059,C000608,2025-09-18 19:22:34,livrée,mobile_app,2000,250500
O0000060,C001102,2025-05-27 15:15:10,livrée,web,1500,467700
O0000061,C000775,2025-04-22 18:13:17,en_cours,mobile_app,3000,65500
O0000062,C004905,2024-12-06 11:58:58,annulée,mobile_app,3000,7000
O0000063,C001805,2026-05-24 11:10:22,livrée,mobile_app,1500,52000
O0000064,C000001,2024-09-01 17:07:28,livrée,mobile_app,1000,55000
O0000065,C001493,2026-02-08 15:06:48,livrée,mobile_app,1500,55000
O0000066,C003686,2026-01-30 12:19:07,livrée,mobile_app,1500,109500
O0000067,C002065,2026-01-28 21:39:10,livrée,mobile_app,1500,42500
O0000068,C003375,2025-04-30 11:31:43,en_cours,mobile_app,1500,399800
O0000069,C003666,2026-02-20 21:00:04,livrée,mobile_app,1000,132000
O0000070,C000220,2025-10-16 09:08:24,livrée,mobile_app,1000,79000
O0000071,C002071,2024-12-13 22:16:21,annulée,mobile_app,1000,469400
O0000072,C002648,2025-10-05 09:34:53,en_cours,web,2000,60900
O0000073,C001694,2025-06-11 18:25:01,retournée,web,0,182000
O0000074,C004115,2025-11-18 12:13:09,livrée,web,2000,43000
O0000075,C002411,2025-12-01 10:34:21,livrée,mobile_app,1500,40500
O0000076,C000897,2025-10-20 22:55:28,livrée,mobile_app,2000,51400
O0000077,C002646,2025-12-06 13:04:33,livrée,web,2000,238500
O0000078,C000331,2024-12-22 06:03:50,en_cours,web,1000,530000
O0000079,C000011,2025-11-20 17:53:10,livrée,mobile_app,1000,32500
O0000080,C001936,2025-12-31 15:18:08,livrée,mobile_app,2000,169000
O0000081,C000512,2026-04-07 12:09:48,livrée,mobile_app,1500,3500
O0000082,C000011,2026-05-01 08:48:57,livrée,web,2000,60300
O0000083,C000449,2026-06-21 06:25:44,livrée,mobile_app,2000,531000
O0000084,C001040,2025-08-27 18:14:09,annulée,mobile_app,1500,682500
O0000085,C000001,2026-01-17 09:36:35,retournée,mobile_app,3000,109900
O0000086,C004335,2026-05-04 13:31:42,livrée,web,2000,522000
O0000087,C003974,2026-06-11 10:41:07,livrée,mobile_app,2000,75500
O0000088,C000229,2025-09-09 06:56:22,livrée,mobile_app,2000,535000
O0000089,C001169,2025-06-04 20:03:11,livrée,web,3000,6000
O0000090,C001131,2025-02-13 17:52:09,livrée,mobile_app,3000,68500
O0000091,C000001,2025-12-12 08:23:23,annulée,mobile_app,2000,230000
O0000092,C003172,2025-03-28 20:36:55,livrée,mobile_app,2000,361600
