product_id,nom_produit,categorie,marque,prix_unitaire_fcfa,stock
P00001,Hisense Informatique 0001,Informatique,Hisense,108000,91
P00002,Nivea Maison & Cuisine 0002,Maison & Cuisine,Nivea,69500,376
P00003,HP Électroménager 0003,Électroménager,HP,39000,538
P00004,LG Beauté & Soins 0004,Beauté & Soins,LG,2000,270
P00005,Teranga Home Informatique 0005,Informatique,Teranga Home,529000,61
P00006,Lenovo Téléphonie 0006,Téléphonie,Lenovo,276000,712
P00007,Itel Enfants & Jouets 0007,Enfants & Jouets,Itel,4500,432
P00008,Samsung Beauté & Soins 0008,Beauté & Soins,Samsung,3000,18
P00009,Infinix Mode Femme 0009,Mode Femme,Infinix,32000,459
P00010,Tecno Mode Homme 0010,Mode Homme,Tecno,4500,739
P00011,Tecno Enfants & Jouets 0011,Enfants & Jouets,Tecno,15000,14
P00012,Nivea Sport & Loisirs 0012,Sport & Loisirs,Nivea,35500,629
P00013,Nivea Mode Femme 0013,Mode Femme,Nivea,23000,301
P00014,Penc Mi Informatique 0014,Informatique,Penc Mi,115500,566
P00015,Adidas Maison & Cuisine 0015,Maison & Cuisine,Adidas,59000,22
P00016,Itel Électroménager 0016,Électroménager,Itel,473000,725
P00017,Royal Mode Homme 0017,Mode Homme,Royal,25000,773
P00018,Hisense Maison & Cuisine 0018,Maison & Cuisine,Hisense,12500,439
P00019,Infinix Enfants & Jouets 0019,Enfants & Jouets,Infinix,49500,172
P00020,Royal Électroménager 0020,Électroménager,Royal,92000,120
P00021,Royal Téléphonie 0021,Téléphonie,Royal,22500,551
P00022,LG Mode Femme 0022,Mode Femme,LG,5500,634
P00023,Infinix Maison & Cuisine 0023,Maison & Cuisine,Infinix,9500,539
P00024,Tecno Maison & Cuisine 0024,Maison & Cuisine,Tecno,5000,394
P00025,Penc Mi Enfants & Jouets 0025,Enfants & Jouets,Penc Mi,24500,617
P00026,Infinix Électroménager 0026,Électroménager,Infinix,21000,589
P00027,HP Sport & Loisirs 0027,Sport & Loisirs,HP,14000,268
P00028,Royal Sport & Loisirs 0028,Sport & Loisirs,Royal,61500,621
P00029,LG Épicerie 0029,Épicerie,LG,1000,147
P00030,Kirène Enfants & Jouets 0030,Enfants & Jouets,Kirène,13000,656
P00031,Lenovo Électroménager 0031,Électroménager,Lenovo,479000,424
P00032,Sunu Tech Mode Homme 0032,Mode Homme,Sunu Tech,3500,597
P00033,Lenovo Mode Femme 0033,Mode Femme,Lenovo,9500,555
P00034,Samsung Mode Homme 0034,Mode Homme,Samsung,3500,76
P00035,Dakar Style Informatique 0035,Informatique,Dakar Style,288000,604
P00036,Royal Mode Homme 0036,Mode Homme,Royal,10500,627
P00037,Teranga Home Mode Homme 0037,Mode Homme,Teranga Home,51000,39
P00038,Samsung Sport & Loisirs 0038,Sport & Loisirs,Samsung,34500,180
P00039,Nivea Téléphonie 0039,Téléphonie,Nivea,116000,602
P00040,Dakar Style Sport & Loisirs 0040,Sport & Loisirs,Dakar Style,68000,288
P00041,LG Sport & Loisirs 0041,Sport & Loisirs,LG,6000,89
P00042,HP Informatique 0042,Informatique,HP,414000,683
P00043,HP Enfants & Jouets 0043,Enfants & Jouets,HP,21000,419
P00044,Tecno Sport & Loisirs 0044,Sport & Loisirs,Tecno,32500,315
P00045,Adidas Sport & Loisirs 0045,Sport & Loisirs,Adidas,29000,444
P00046,Penc Mi Sport & Loisirs 0046,Sport & Loisirs,Penc Mi,6000,319
P00047,Hisense Épicerie 0047,Épicerie,Hisense,12000,101
P00048,Tecno Mode Femme 0048,Mode Femme,Tecno,24000,449
